word	start_time	end_time	raw_prominence	norm_prominence
johannes	184.290	184.780	4.900	0.866
leste	184.780	185.080	5.446	1.000
ikke	185.080	185.250	1.364	0.000
nyhetene	185.250	185.730	3.444	0.509
i	187.410	187.480	0.608	0.000
forfjor	187.480	188.030	9.543	1.000
leste	188.030	188.340	5.074	0.500
ikke	188.340	188.560	1.276	0.075
johannes	188.560	189.050	4.772	0.466
nyhetene	189.050	189.580	3.772	0.354
jens	191.990	192.390	5.438	0.703
rydda	192.390	192.690	6.725	0.940
opp	192.690	192.740	2.237	0.116
på	192.740	192.890	1.605	0.000
rommet	192.890	193.270	7.053	1.000
i	194.820	194.890	0.686	0.000
forgårs	194.890	195.480	10.385	0.974
jen	195.480	195.730	4.569	0.390
rydda	195.770	196.380	10.643	1.000
jens	196.380	196.650	3.472	0.280
opp	196.650	196.730	1.016	0.033
på	196.730	196.900	1.423	0.074
rommet	196.900	197.250	5.031	0.436
eline	199.300	199.690	10.058	1.000
kjøpte	199.690	199.980	2.768	0.000
seg	199.980	200.110	3.657	0.122
bobil	200.110	200.580	8.996	0.854
i	201.990	202.070	0.491	0.000
forfjor	202.070	202.870	11.692	1.000
kjøpte	202.870	203.160	1.724	0.110
eline	203.160	203.490	4.175	0.329
seg	203.490	203.610	1.400	0.081
bobil	203.610	204.060	4.465	0.355
vi	206.160	206.270	0.811	0.000
bakte	206.270	206.640	4.224	0.469
alltid	206.640	206.970	5.400	0.630
julebrød	206.970	207.560	8.095	1.000
som	209.190	209.450	2.094	0.123
barn	209.450	209.820	7.609	1.000
bakte	209.820	210.130	3.593	0.362
vi	210.130	210.210	1.317	0.000
alltid	210.210	210.560	5.202	0.617
julebrød	210.560	211.040	5.303	0.633
johannes	212.970	213.460	8.016	1.000
spilte	213.460	213.790	3.870	0.296
ikke	213.790	213.980	2.123	0.000
sangene	213.980	214.440	7.226	0.866
i	215.950	216.040	0.891	0.000
forgårs	216.040	216.560	10.688	1.000
spilte	216.560	216.840	3.232	0.239
ikke	216.840	216.950	1.015	0.013
johannes	216.950	217.510	6.591	0.582
sangene	217.510	217.920	5.291	0.449
jens	219.880	220.230	4.866	0.937
følte	220.230	220.580	5.095	1.000
seg	220.580	220.710	1.742	0.075
ikke	220.710	220.850	1.470	0.000
helt	220.850	221.070	2.698	0.339
frisk	221.070	221.650	2.683	0.335
i	222.870	222.960	0.731	0.000
forfjor	222.960	223.510	10.034	0.888
eh	223.510	223.870	9.565	0.843
følte	223.870	224.160	3.469	0.261
ikke	224.160	224.440	3.139	0.230
eh	224.440	224.890	11.207	1.000
johannes	224.890	225.290	4.591	0.368
seg	225.290	225.420	1.858	0.108
helt	225.420	225.580	1.694	0.092
frisk	225.580	226.060	1.931	0.114
jeg	227.830	227.940	1.551	0.000
spilte	227.940	228.320	5.178	0.730
alltid	228.320	228.670	5.347	0.764
ludo	228.670	229.110	6.522	1.000
som	230.970	231.210	2.907	0.186
ung	231.210	231.510	5.293	0.610
spilte	231.510	231.930	5.300	0.612
jeg	231.930	231.990	1.857	0.000
alltid	231.990	232.330	7.274	0.962
ludo	232.330	232.710	7.487	1.000
eline	234.910	235.350	8.350	0.666
solgte	235.350	235.720	5.377	0.350
ikke	235.720	235.900	2.079	0.000
maleriene	235.900	236.540	11.490	1.000
på	237.990	238.090	1.287	0.000
fredag	238.090	238.540	12.103	1.000
solgte	238.540	238.920	6.185	0.453
ikke	238.920	239.100	2.017	0.067
eline	239.100	239.510	8.575	0.674
maleriene	239.510	240.110	9.365	0.747
vi	241.840	241.970	2.349	0.000
spiste	241.970	242.370	4.858	0.407
aldri	242.370	242.700	8.509	1.000
dessert	242.700	243.160	7.866	0.896
som	244.880	245.150	2.451	0.001
barn	245.150	245.430	7.924	1.000
spiste	245.430	245.840	2.444	0.000
vi	245.840	245.930	2.555	0.020
aldri	245.930	246.220	5.785	0.610
dessert	246.220	246.670	6.759	0.787
jens	248.760	249.140	4.230	0.000
leste	249.140	249.520	7.045	0.540
alltid	249.520	249.820	4.624	0.076
avisa	249.820	250.340	9.438	1.000
som	251.810	252.120	2.441	0.000
barn	252.120	252.460	8.541	1.000
leste	252.460	252.770	3.869	0.234
alltid	252.770	253.070	4.774	0.382
jens	253.070	253.380	3.813	0.225
avisa	253.380	253.840	4.838	0.393
siv	256.300	256.710	3.259	0.292
strakk	256.710	257.150	4.841	0.690
ut	257.150	257.440	2.095	0.000
etter	257.440	257.640	2.267	0.043
treninga	257.640	258.190	6.077	1.000
på	259.480	259.590	1.624	0.000
fredag	259.590	260.120	11.007	1.000
strakk	260.120	260.690	4.863	0.345
siv	260.690	261.270	4.216	0.276
etter	261.270	261.560	3.179	0.166
trenninga	261.560	262.130	7.005	0.573
jeg	264.550	264.730	4.685	0.687
kjøpte	264.730	265.030	2.415	0.149
ikke	265.030	265.230	1.786	0.000
bøkene	265.230	265.710	6.005	1.000
på	267.800	267.960	2.219	0.091
fredag	267.960	268.480	12.217	1.000
så	268.480	268.680	2.815	0.145
kjøpte	268.680	269.010	3.466	0.204
jeg	269.010	269.040	1.221	0.000
ikke	269.040	269.190	2.137	0.083
bøkene	269.190	269.650	5.487	0.388
vi	272.160	272.290	1.878	0.051
satte	272.290	272.630	3.777	0.389
oss	272.630	272.820	1.589	0.000
ikke	272.820	273.060	1.676	0.015
bakerst	273.060	273.790	7.211	1.000
i	275.260	275.350	0.860	0.000
forgårs	275.350	275.940	9.737	1.000
satte	275.940	276.300	2.124	0.142
vi	276.300	276.410	1.820	0.108
oss	276.410	276.580	1.613	0.085
ikke	276.580	276.770	1.643	0.088
bakerst	276.770	277.450	6.112	0.592
eline	279.500	279.920	9.359	1.000
forta	279.920	280.260	5.761	0.203
seg	280.260	280.410	4.844	0.000
hjem	280.410	280.740	6.421	0.349
på	282.400	282.710	3.642	0.042
fredag	282.710	283.220	11.711	1.000
forta	283.220	283.610	5.749	0.292
eline	283.610	283.950	6.780	0.415
seg	283.950	284.110	3.286	0.000
hjem	284.110	284.430	4.445	0.138
siv	286.400	286.760	2.621	0.075
betalte	286.760	287.210	6.693	1.000
meg	287.210	287.340	2.293	0.000
hundre	287.340	287.640	3.753	0.332
kroner	287.640	288.040	6.050	0.854
i	289.740	289.830	0.846	0.000
forfjor	289.830	290.510	12.759	1.000
betalte	290.510	290.980	7.506	0.559
siv	290.980	291.310	4.323	0.292
meg	291.310	291.490	3.228	0.200
hundre	291.490	291.730	3.204	0.198
kroner	291.730	292.090	5.110	0.358
jens	294.030	294.350	5.211	0.671
ringte	294.350	294.640	5.671	0.773
ikke	294.640	294.850	2.177	0.000
kundene	294.850	295.370	6.696	1.000
i	297.050	297.120	0.981	0.000
forfjor	297.120	297.640	10.176	1.000
så	297.640	297.750	1.228	0.027
ringte	297.750	298.050	5.139	0.452
ikke	298.050	298.210	1.700	0.078
jens	298.210	298.520	5.420	0.483
kundene	298.520	299.040	5.224	0.461
vi	301.160	301.250	1.427	0.000
skaffa	301.250	301.660	6.909	1.000
oss	301.660	301.780	2.617	0.217
hund	301.780	302.210	2.989	0.285
på	304.140	304.310	1.360	0.000
fredag	304.310	304.820	13.150	1.000
så	304.820	304.960	1.938	0.049
skaffa	304.960	305.330	4.576	0.273
vi	305.330	305.440	3.645	0.194
oss	305.440	305.610	3.247	0.160
hund	305.610	306.000	2.527	0.099
jeg	308.230	308.340	2.608	0.000
ga	308.340	308.590	8.455	1.000
opp	308.590	308.740	2.708	0.017
under	308.740	308.950	3.276	0.114
eksamen	308.950	309.480	7.588	0.852
i	311.330	311.410	0.980	0.000
forfjor	311.410	311.920	7.974	1.000
ga	311.920	312.150	5.632	0.665
jeg	312.150	312.210	1.815	0.120
opp	312.210	312.380	2.519	0.220
under	312.380	312.600	3.076	0.300
eksamen	312.600	313.120	5.055	0.583
jens	315.250	315.610	5.481	0.055
lekte	315.610	315.940	5.232	0.000
aldri	315.940	316.290	9.750	1.000
brannmann	316.290	316.760	8.754	0.780
som	318.380	318.610	2.358	0.000
ung	318.610	318.970	4.559	0.373
lekte	319.060	319.450	4.731	0.402
aldri	319.450	319.760	8.261	1.000
jens	319.760	320.090	3.453	0.185
brannmann	320.090	320.590	7.277	0.833
siv	322.690	323.150	3.923	0.261
leste	323.150	323.400	5.171	0.494
ikke	323.400	323.570	2.518	0.000
nyhetene	323.570	324.090	7.894	1.000
på	325.430	325.610	0.897	0.005
fredag	325.610	326.100	8.615	1.000
så	326.100	326.200	0.860	0.000
leste	326.200	326.500	5.585	0.609
ikke	326.500	326.660	1.040	0.023
siv	326.660	327.150	3.185	0.300
nyhetene	327.150	327.680	4.244	0.436
eline	334.380	334.740	7.660	0.930
rydda	334.740	335.040	8.145	1.000
opp	335.040	335.090	2.365	0.171
på	335.090	335.200	1.176	0.000
rommet	335.200	335.570	7.294	0.878
på	337.610	337.760	2.698	0.123
fredag	337.760	338.260	10.982	1.000
så	338.260	338.400	1.871	0.036
rydda	338.400	338.730	8.523	0.740
eline	338.730	339.030	6.122	0.486
opp	339.030	339.100	1.535	0.000
på	339.100	339.280	2.012	0.050
rommet	339.280	339.620	5.288	0.397
johannes	342.200	342.620	4.424	0.228
bakte	342.620	342.970	3.823	0.000
alltid	342.970	343.360	4.526	0.267
julebrød	343.360	343.850	6.454	1.000
som	345.170	345.450	1.978	0.000
barn	345.450	345.800	8.190	1.000
bakte	345.800	346.140	3.584	0.259
alltid	346.140	346.500	4.279	0.370
johannes	346.500	347.100	5.398	0.551
julebrød	347.100	347.600	5.825	0.619
jens	349.890	350.340	5.273	0.389
spiste	350.340	350.750	3.215	0.000
aldri	350.750	351.100	8.500	1.000
dessert	351.100	351.620	7.552	0.821
i	353.150	353.240	0.829	0.000
fjor	353.240	353.650	6.937	0.649
spiste	353.650	354.110	4.912	0.434
aldri	354.110	354.510	10.247	1.000
jens	354.510	354.940	4.869	0.429
dessert	354.940	355.540	8.895	0.856
siv	357.980	358.420	5.618	0.000
tilbød	358.420	358.890	8.329	1.000
meg	358.890	359.110	6.457	0.309
jobben	359.110	359.490	6.517	0.332
i	360.860	360.960	0.974	0.000
forgårs	360.960	361.720	10.744	1.000
eh	361.810	362.050	7.109	0.628
tilbød	362.050	362.530	4.583	0.369
siv	362.530	362.840	3.382	0.247
meg	362.840	362.970	2.349	0.141
jobben	362.970	363.290	4.654	0.377
vi	365.590	365.700	0.958	0.000
strakk	365.700	366.160	5.053	0.519
ut	366.190	366.560	2.314	0.172
etter	366.560	366.740	2.014	0.134
treninga	366.740	367.350	8.841	1.000
